Squad,Matches Played ,Wins,Draws,Losses,Goals For,Goals Against ,Points
Manchester City,38,28,5,5,94,33,89
Arsenal,38,26,6,6,88,43,84
Manchester Utd,38,23,6,9,58,43,75
Newcastle Utd,38,19,14,5,68,33,71
Liverpool,38,19,10,9,75,47,67
Brighton,38,18,8,12,72,53,62
Aston Villa,38,18,7,13,51,46,61
Tottenham,38,18,6,14,70,63,60
Brentford,38,15,14,9,58,46,59
Fulham,38,15,7,16,55,53,52
Crystal Palace,38,11,12,15,40,49,45
Chelsea,38,11,11,16,38,47,44
Wolves,38,11,8,19,31,58,41
West Ham,38,11,7,20,42,55,40
Bournemouth,38,11,6,21,37,71,39
Nott'ham Forest,38,9,11,18,38,68,38
Everton,38,8,12,18,34,57,36
Leicester City,38,9,7,22,51,68,34
Leeds United,38,7,10,21,48,78,31
Southampton,38,6,7,25,36,73,25
